,,,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G2,G2,G2,G2,G2,G2,G2,G2,G2,G4,G4,G4,G4,G4,G4,G4,G4,G4
RAW,x.0.1,x.raw.RMD,0.285337,0.215861,0.30412,0.073171,0.364875,0.185625,0.09788,0.13365,0.048507,0.054611,0.394813,0.231879,0.119969,0.200741,0.773691,1.348144,0.255739,0.145505,0.075284,0.120875,0.241377,0.142985,0.034319,0.37515,0.031371,0.050991,0.047533,0.144219,0.138909,0.487675
RAW,y.0.1,y.raw.RMSD,0.407207,0.203478,0.430946,0.16111,0.53024,1.201486,0.074984,0.220513,0.020656,0.172474,0.676938,0.540628,0.194434,0.088079,0.73638,1.157873,0.11289,0.321568,0.110602,0.360843,0.094294,0.050309,0.132535,0.484921,0.028997,0.031385,0.075224,0.262825,0.907604,0.444374
RAW,x.0.4,x.raw.ApE,0.649702,0.691256,0.551899,0.507703,0.5028,0.420717,0.463014,0.518869,0.559024,0.747156,0.566015,0.579934,0.600084,0.663401,0.557439,0.250549,0.454156,0.694635,0.59372,0.866086,0.496523,0.513757,0.020922,0.53162,0.250368,0.54392,0.458015,0.480256,0.427322,0.477504
RAW,y.0.4,y.raw.ApE,0.508951,0.723011,0.566705,0.557116,0.649286,0.52777,0.476254,0.504022,0.759356,0.217084,0.346092,0.504332,0.450378,0.688752,0.264601,0.244257,0.459009,0.58618,0.353186,0.599351,0.488565,0.51146,0.147713,0.455321,0.333858,0.313758,0.648028,0.39417,0.321377,0.58531
RAW,x.0.5,x.raw.Sap,2.47092,0.996097,2.397895,1.369487,0.916291,0.558136,0.887303,0.927987,1.821612,2.564949,0.959776,1.94591,1.791759,2.140066,1.89712,1.321756,1.031921,1.658228,1.658228,1.777161,1.832581,2.197225,0,1.609438,1.386294,0.898999,2.251292,0.869038,0,2.014903
RAW,y.0.5,y.raw.Sap,2.058388,1.175573,1.386294,1.7492,1.252763,1.058261,0.658462,1.446919,1.317827,1.036092,0.940007,2.079442,1.021651,1.08619,0.916291,1.098612,0.790446,2.302585,0.97651,1.658228,1.268511,1.243794,0,0,1.558145,0.193569,1.871802,1.321756,0.693147,2.197225
F1,x.1.1,x.IMF1.RMSD,0.04552,0.129864,0.048611,0.024697,0.055725,0.050216,0.017437,0.044903,0.0151,0.024405,0.120097,0.039289,0.027267,0.03321,0.080978,0.091113,0.027164,0.047207,0.024224,0.041799,0.036285,0.045633,0.009415,0.047293,0.007523,0.017242,0.024593,0.031083,0.037562,0.067936
F1,y.1.1,y.IMF1.RMSD,0.03426,0.079145,0.083588,0.028767,0.061315,0.199062,0.008506,0.053788,0.007812,0.016145,0.147548,0.073536,0.025913,0.02262,0.047136,0.069597,0.011468,0.066131,0.021594,0.041971,0.015998,0.012499,0.031885,0.04621,0.014196,0.030942,0.027989,0.055449,0.067285,0.06106
F1,x.1.4,x.IMF1.ApE,0.70808,0.456241,0.470131,0.498582,0.418643,0.6194,0.454638,0.579934,0.476875,0.386556,0.453586,0.431213,0.500145,0.852347,0.481418,0.432553,0.667443,0.449802,0.347435,0.756827,0.488615,0.517449,0.08045,0.406056,0.260302,0.474292,0.463418,0.489679,0.509948,0.557732
F1,y.1.4,y.IMF1.ApE,0.856017,0.458867,0.420155,0.523423,0.50753,0.760377,0.588698,0.603753,0.421705,0.369658,0.437703,0.451384,0.494554,0.719178,0.511351,0.463099,0.658719,0.486309,0.549798,0.752769,0.54939,0.439108,0.102469,0.447212,0.268252,0.33512,0.491922,0.380161,0.472984,0.583857
